,title,link,dates,type
0,Dave Chappelle,https://www.scotiabankarena.com/events/detail/dave-chappelle,01-01-2023,public
1,Toronto Maple Leafs vs. St. Louis Blues,https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-25,01-03-2023,public
2,Toronto Raptors vs. Milwaukee Bucks,https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-21,01-04-2023,public
3,"Toronto Maple Leafs vs. Seattle Kraken
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-26,01-05-2023,public
4,"Toronto Raptors vs. New York Knicks
7:30pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-22,01-06-2023,public
5,"Toronto Maple Leafs vs. Detroit Red Wings
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-27,01-07-2023,public
6,"Toronto Raptors vs. Portland Trail Blazers
3:30pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-23,01-08-2023,public
7,"Toronto Raptors vs. Charlotte Hornets
7:30pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-24,01-10-2023,public
8,"Toronto Maple Leafs vs. Nashville Predators
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-28,01-11-2023,public
9,"Toronto Raptors vs. Charlotte Hornets
7:30pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-25,01-12-2023,public
10,"Toronto Raptors vs. Atlanta Hawks
7:30pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-26,01-14-2023,public
11,"Toronto Maple Leafs vs. Florida Panthers
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-29,01-17-2023,public
12,"Toronto Maple Leafs vs. Winnipeg Jets
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-30,01-19-2023,public
13,"Toronto Raptors vs. Boston Celtics
5:00pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-27,01-21-2023,public
14,"Toronto Raptors vs. New York Knicks
6:00pm",https://www.scotiabankarena.com/events/detail/raptors-2022-2023-homegame-28,01-22-2023,public
15,"Toronto Maple Leafs vs. New York Islanders
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-31,01-23-2023,public
16,"Toronto Maple Leafs vs. New York Rangers
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-32,01-25-2023,public
17,"Toronto Maple Leafs vs. Ottawa Senators
7:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-33,01-27-2023,public
18,"Old Dominion
7:30pm",https://www.scotiabankarena.com/events/detail/old-dominion,01-28-2023,public
19,"Toronto Maple Leafs vs. Washington Capitals
5:00pm",https://www.scotiabankarena.com/events/detail/leafs-2022-2023-homegame-34,01-29-2023,public
